No	Category	Subcategory	Description	Qty	UOM	Price/Unit (RM)	Total (RM)	Update Date	Supplier	Note
1	Finishes	Ceiling	Seamless Joint Plasterboard Ceiling with KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	1	M2	45.00	45.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Labour separate.
2	Finishes	Wall Plaster Paint	Plastered Wall and KCC Emulsion Paint Material Allowance (Current Working Cost Per m2)	1	M2	18.00	18.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Wall substrate excluded to S10.
3	Finishes	Tile Supply	300 x 600mm Porcelain Floor Tile Supply Logical Provisional Working Cost Per m2	1	M2	55.00	55.00	2026-07-10	OWNER REQUIRED SUPPLY-INCLUDED LOGICAL PROVISIONAL RATE	Owner corrected that tile supply should be counted. Exact tile brand/model can replace this rate later. No markup included.
4	Finishes	Tile Supply	Ceramic Wall/Floor Tile Supply Logical Provisional Working Cost Per m2	1	M2	40.00	40.00	2026-07-10	OWNER REQUIRED SUPPLY-INCLUDED LOGICAL PROVISIONAL RATE	Owner corrected that tile supply should be counted. Exact tile brand/model can replace this rate later. No markup included.
5	Finishes	Tile Consumables	Tile Adhesive G88 Bonding Agent Bondplus Cement Grout Bonder and Grout Consumables Allowance (Current Working Cost Per m2)	1	M2	20.00	20.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 PT/CT floor and wall tile installation consumables.
6	Finishes	Carpet Substrate	Cement Render and Two Coats Sissons Silicone Sealant under ID Carpet Material Allowance (Current Working Cost Per m2)	1	M2	22.00	22.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Carpet/underlay supply remains excluded unless owner later requires it.
7	Sanitary	WC Fixture	WC Pan Cistern Seat and Flush Fitting Final Fixture Allowance (Current Working Cost Per set)	1	SET	550.00	550.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. For S12 final WC fixture sets.
8	Sanitary	Basin Fixture	Wash Hand Basin Tap Waste Trap and Bracket Final Fixture Allowance (Current Working Cost Per set)	1	SET	450.00	450.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
9	Sanitary	Tap Fixture	Bib Tap Ablution Tap Feet-Wash Tap Final Fixture Allowance (Current Working Cost Per point)	1	POINT	65.00	65.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
10	Sanitary	Grating	Stainless Steel Floor Trap / Sump Grating Final Cover Allowance (Current Working Cost Per point)	1	POINT	85.00	85.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
11	Sanitary	Accessories and Sundries	Sanitary Final Accessories Silicone Sealant Fixing and Small Fittings Allowance (Current Working Cost Per lot)	1	LOT	1000.00	1000.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
12	Labour	Ceiling	Plasterboard Ceiling Installation Jointing and Paint Labour Allowance (Current Working Cost Per m2)	1	M2	35.00	35.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
13	Labour	Wall Plaster Paint	Internal Wall Plastering and KCC Emulsion Paint Labour Allowance (Current Working Cost Per m2)	1	M2	25.00	25.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
14	Labour	Tile Works	Floor and Wall Tile Installation Labour Allowance (Current Working Cost Per m2)	1	M2	45.00	45.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included. Installation labour only.
15	Labour	Carpet Substrate	Cement Render and Sissons Silicone Sealant under Carpet Labour Allowance (Current Working Cost Per m2)	1	M2	18.00	18.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
16	Labour	Sanitary Installation	Sanitary Final Fixture Installation Labour Allowance (Current Working Cost Per point)	1	POINT	95.00	95.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
17	Services	Finishes Protection	Final Finishes Protection Cleaning and Handover Touch-Up Allowance (Current Working Cost Per lot)	1	LOT	1800.00	1800.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
18	Services	Sanitary Testing	Final Sanitary Fixture Testing Commissioning and Leak Correction Allowance (Current Working Cost Per lot)	1	LOT	650.00	650.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
19	Services	Finishing Tools	Tile Cutting Painting and Finishing Small Tools Consumable Service Allowance (Current Working Cost Per lot)	1	LOT	950.00	950.00	2026-07-10	CUSTOMER/DRAWING/README ACCEPTED FULL ALLOWANCE BASIS	UNMARKED COST RATE - no markup included.
